Race,Race Code,States,States Code,Year,Year Code,Sex,Sex Code,Ethnicity,Ethnicity Code,Count
American Indian or Alaska Native,1002-5,Alabama,1,2000,2000,Male,M,Non-Hispanic,01/05/2186,18
American Indian or Alaska Native,1002-5,Alabama,1,2002,2002,Female,F,Non-Hispanic,01/05/2186,19
American Indian or Alaska Native,1002-5,Alabama,1,2006,2006,Male,M,Non-Hispanic,01/05/2186,18
American Indian or Alaska Native,1002-5,Alabama,1,2008,2008,Female,F,Non-Hispanic,01/05/2186,16
American Indian or Alaska Native,1002-5,Alabama,1,2008,2008,Male,M,Non-Hispanic,01/05/2186,17
American Indian or Alaska Native,1002-5,Alabama,1,2009,2009,Female,F,Non-Hispanic,01/05/2186,17
American Indian or Alaska Native,1002-5,Alabama,1,2011,2011,Female,F,Non-Hispanic,01/05/2186,16
American Indian or Alaska Native,1002-5,Alabama,1,2011,2011,Male,M,Non-Hispanic,01/05/2186,21
American Indian or Alaska Native,1002-5,Alabama,1,2012,2012,Female,F,Non-Hispanic,01/05/2186,23
American Indian or Alaska Native,1002-5,Alabama,1,2014,2014,Female,F,Non-Hispanic,01/05/2186,22
American Indian or Alaska Native,1002-5,Alabama,1,2014,2014,Male,M,Non-Hispanic,01/05/2186,21
American Indian or Alaska Native,1002-5,Alabama,1,2015,2015,Female,F,Non-Hispanic,01/05/2186,22
American Indian or Alaska Native,1002-5,Alabama,1,2015,2015,Male,M,Non-Hispanic,01/05/2186,22
American Indian or Alaska Native,1002-5,Alabama,1,2016,2016,Female,F,Non-Hispanic,01/05/2186,21
American Indian or Alaska Native,1002-5,Alabama,1,2016,2016,Male,M,Non-Hispanic,01/05/2186,28
American Indian or Alaska Native,1002-5,Alaska,2,1999,1999,Female,F,Non-Hispanic,01/05/2186,185
American Indian or Alaska Native,1002-5,Alaska,2,1999,1999,Male,M,Non-Hispanic,01/05/2186,157
American Indian or Alaska Native,1002-5,Alaska,2,2000,2000,Female,F,Non-Hispanic,01/05/2186,182
American Indian or Alaska Native,1002-5,Alaska,2,2000,2000,Male,M,Non-Hispanic,01/05/2186,133
American Indian or Alaska Native,1002-5,Alaska,2,2001,2001,Female,F,Non-Hispanic,01/05/2186,196
American Indian or Alaska Native,1002-5,Alaska,2,2001,2001,Male,M,Non-Hispanic,01/05/2186,151
American Indian or Alaska Native,1002-5,Alaska,2,2002,2002,Female,F,Non-Hispanic,01/05/2186,202
American Indian or Alaska Native,1002-5,Alaska,2,2002,2002,Male,M,Non-Hispanic,01/05/2186,164
American Indian or Alaska Native,1002-5,Alaska,2,2003,2003,Female,F,Non-Hispanic,01/05/2186,211
American Indian or Alaska Native,1002-5,Alaska,2,2003,2003,Male,M,Non-Hispanic,01/05/2186,171
American Indian or Alaska Native,1002-5,Alaska,2,2004,2004,Female,F,Non-Hispanic,01/05/2186,245
American Indian or Alaska Native,1002-5,Alaska,2,2004,2004,Male,M,Non-Hispanic,01/05/2186,181
American Indian or Alaska Native,1002-5,Alaska,2,2005,2005,Female,F,Non-Hispanic,01/05/2186,215
American Indian or Alaska Native,1002-5,Alaska,2,2005,2005,Male,M,Non-Hispanic,01/05/2186,195
American Indian or Alaska Native,1002-5,Alaska,2,2006,2006,Female,F,Non-Hispanic,01/05/2186,232
American Indian or Alaska Native,1002-5,Alaska,2,2006,2006,Male,M,Non-Hispanic,01/05/2186,171
American Indian or Alaska Native,1002-5,Alaska,2,2007,2007,Female,F,Non-Hispanic,01/05/2186,231
American Indian or Alaska Native,1002-5,Alaska,2,2007,2007,Male,M,Non-Hispanic,01/05/2186,180
American Indian or Alaska Native,1002-5,Alaska,2,2008,2008,Female,F,Non-Hispanic,01/05/2186,215
American Indian or Alaska Native,1002-5,Alaska,2,2008,2008,Male,M,Non-Hispanic,01/05/2186,186
American Indian or Alaska Native,1002-5,Alaska,2,2009,2009,Female,F,Non-Hispanic,01/05/2186,266
American Indian or Alaska Native,1002-5,Alaska,2,2009,2009,Male,M,Non-Hispanic,01/05/2186,199
American Indian or Alaska Native,1002-5,Alaska,2,2010,2010,Female,F,Non-Hispanic,01/05/2186,267
American Indian or Alaska Native,1002-5,Alaska,2,2010,2010,Male,M,Non-Hispanic,01/05/2186,215
